,Unnamed: 0,user_id,content,class_with,class_without,sentiment,user_name
18,18,741200766451523584,happy earthday globe_showing_Europe-Africa green alternatives to fossil fuels to help stop dr liz jenkinson is providing the answer to the question is there an alternative to fossilfuels her work says yes investinourplanet takeaction now,3,0,Positive,Sci_Ani
19,19,857244014755536897,the healthier our ecosystems are the healthier the planet amp its people restoring our damaged ecosystems will help to end poverty amp combat this earthday let us collectively work towards a better and greener tomorrow earthday lettheearthbreath,3,0,Positive,BiswajitThongam
20,20,3189885294,the theme for earthday is investinourplanet the healthier our ecosystems are the healthier the planet amp its people restoring our damaged ecosystems will help to end poverty combat amp prevent mass extinction we can all play a part sustainability sdgs st climatestrike globe_showing_Europe-Africa in india India is real think about what you are doing to help slow the inevitable as every action plays a part fridaysforfuture uprootthesystem,3,0,Negative,KambojAnanya
21,21,66935683,today billion of the world’s most vulnerable children are at risk because of tomorrow if the world fails to act it will be all children earthday actnow climateaction,3,2,Negative,UNICEFIndia
22,22,421274906,this sunday at pm the start of a seven year project tracking how the natural world is changing as it bows under the pressures of the modern world and following the work of the astounding humans fighting to save it ourchangingplanet inthistogether no room for any new fossil fuel developments and the coal and gas plants we already have need to close early world leaders are you listening fossilfuels on earth is connected if ecosystems collapse all of us no matter where we live will experience the brunt of in all sorts of unprecedented ways if the planet can’t stay healthy amp thrive we humans can’t either wearenature,3,0,Positive,lizbonnin
23,23,23369246,you can fight climate change with diet change boxing_glove did you know that of green house gasses are associated with livestock production learn more about plant based diets and the connection between our food systems and seedling here,3,0,Positive,EarthDay
24,24,276713213,protecting nature is critical to the fight against and to the health of our communities that’s why we’re committed to protecting of our lands and waters by when it comes to fighting canada is heading in the right direction this is important progress and a sign of even greater potential were keeping up the momentum with an ambitious plan to tackle the climatecrisis support families and create good jobs nature is a vital part of our fight against as part of our plan to protect of our lands and waters by today alongside newfoundland and labrador we committed to accelerate the creation of new protected areas in the provincemy latest for canadas new climate plan is our boldest step yet and represents many important firsts in our country’s fight against the coming weeks canada will unveil the next step in our plan to fight and create good jobs we’re setting out the roadmap for canada to be a leader in the global shift towards cleaner and more sustainable ways of doing business,3,0,Positive,s_guilbeault
25,25,116579971,i’m about to topple all of these statues in support of crt blm therearegenders tofubrigade pronountaliban,3,2,Neutral,GadSaad
26,26,192942213,earthday is tomorrow the ipcc climatereport released a couple of weeks ago shows that to limit warming to around °c °f requires global greenhousegasemissions to peak before amp be halved by mitigation of right_arrow is worldhealthday did you know that affects our health worldhealthday our planet our health globe_showing_Americas thermometer right_arrow reduction to address would need to be on the scale seen in the pandemic year after year but in contrast with the adverse impacts of the pandemic the options can actually improve quality of life” – ipcc working group iii vicechair reports depend on willingness of governments and scientists to listen to each other and work together ipcc secretary abdalah mokssit at todays presser for the ipcc climatereport on the mitigation of need to take action now or ºc will become out of reach it will be physically impossible to get there – ipcc working group iii cochair jim skea at today’s press conference for the release of the latest ipcc climatereport on the mitigation of report is very clear were not talking about business as usual if we are to address – ipcc working group iii cochair jim skea now or never if we want to limit global warming to °c °f” – ipcc working group iii cochair jim skea on the release of ipcc’s latest climatereport on the mitigation of right_arrow watch the trailer movie_camera ipcc tells us we have the knowledge and technology to address ” on the release of ipcc’s climatereport on the mitigation of pr right_arrow right_arrow evidence is clear the time for action is now we can halve emissions by the ipcc has just released its latest climatereport on the mitigation of press release right_arrow read the report right_arrow now the press conference to present the ipcc’s latest climatereport mitigation of climate change the working group iii contribution to the sixth assessment report including a qampa session with registered media shortly the press conference for the ipcc’s next climatereport mitigation of follow live at pm bst london pm cest geneva untv right_arrow we don’t understand how to reduce emissions we don’t have the tools available to address ” hear from ipcc cochair jim skea on what’s new amp ways we can reduce emissions in our next climatereport scheduled for release on april sayitwithscience monday april ipcc is scheduled to present its next climatereport mitigation of climate change the third part of the sixth assessment report find out more right_arrow scientists books over publications assessed writing_hand over review comments don’t miss the launch of the next climatereport climate change mitigation of scheduled for release on april right_arrow next few years will be crucial for the state of in this century this is why an updated assessment of mitigation is more important than ever” ipcc chair hoesung lee at today’s opening ceremony right_arrow approval session for ipcc’s next climatereport mitigation of climate change starts on monday march until april watch the opening ceremony via live stream at am gmt march television read more right_arrow report shows that climate change is a grave and mounting threat to our wellbeing and a healthy planet” ipcc chair hoesung lee on the latest ipcc climatereport on impacts adaptation and vulnerability to read the report right_arrow iwd have highlighted several ipcc women scientists from our latest climatereport for their unique contributions to the understanding of the state of our planet and how we need to strengthen the global response to right_arrow iwd the ipcc applauds our womeninscience who have contributed their time amp expertise to progress our understanding of to celebrate we are sharing key messages presented by authors from our latest climatereport video_camera michelle mycoo – small islands latest climatereport impacts adaptation amp vulnerability examines the impacts of on nature and people around the globe globe_showing_Asia-Australia read the report right_arrow watch the trailer video_camera is causing dangerous and widespread disruption in nature and affecting the lives of billions of people around the world despite efforts to reduce the risks says the latest ipcc climatereport read more right_arrow already gives us strong examples of what may happen if the climate system is brought out of the balance of the last years when human civilization was built report right_arrow follow live growing urbanization and create complex risks…” ipcc working group ii cochair debra roberts follow live right_arrow report right_arrow report shows that is a grave and mounting threat to our wellbeing and a healthy planet” ipcc chair hoesung lee on the latest ipcc climatereport right_arrow report right_arrow and other fossil fuels are choking humanity sg addressed the press conference to launch ipcc’s latest climatereport impacts adaptation amp vulnerability release feb a threat to human wellbeing and health of the planet taking action now can secure our future the ipcc released its latest climatereport today pr right_arrow read the report right_arrow shortly the press conference to present the ipcc’s latest climatereport impacts adaptation amp vulnerability the contribution from working group ii to the sixth assessment report includes a qampa session with media right_arrow ipcc releases its next major climatereport today tune in at noon pm cet to find out how is affecting people amp ecosystems watch the presser live right_arrow ipcc’s latest climatereport impacts adaptation amp vulnerability was approved amp accepted by member countries in a virtual session the presser for the report will be livestreamed at noon cet feb follow here right_arrow amp govts are meeting to approve ipcc’s next climatereport about what means for people amp nature ipcc’s debra roberts explains how this process is critical to inform choices that shape our future follow for the launch on feb at noon cet ⃣ days until the ipcc releases its next major climatereport tune in at noon pm cet on february to find out how is affecting people amp ecosystems watch the presser live right_arrow media alert ipcc will hold a virtual press conference to present the summary for policymakers of the report impacts adaptation amp vulnerability subject to approval by the panel alarm_clock feb pm cet movie_camera right_arrow will release its next major climatereport on february at noon pm cet ipcc’s debra roberts one of the report’s leading cochairs speaks about amp why this report is important for peoples’ lives details right_arrow is increasing the incidence of wildfires around the globe says new report by and released today ahead of unea read more right_arrow report prepared by writing_hand scientists from globe_showing_Europe-Africa countries find out how impacts people amp ecosystems in the next ipcc climatereport prepared by a diverse team of scientists from around the world scheduled for release on feb right_arrow ipcc is scheduled to present its next climatereport impacts adaptation amp vulnerability the second part of the sixth assessment report on feb information about the report amp media resources can be found here right_arrow amp governments are meeting to approve the next ipcc climatereport about what means for people amp nature ipcc’s debra roberts explains how this process is critical to inform choices that shape our future the report is due for release on feb is in the middle of a twoweek virtual meeting to approve our next climatereport on impacts adaptation amp vulnerability ipcc’s debra roberts speaks about amp why this report is important for peoples’ lives the report is due for release on feb today’s opening ceremony exec director said that “the work of the ipcc underpins climateaction” and this ipcc report will “strengthen the science on the links between biodiversity loss and ” opening ceremony for the approval session for the next ipcc climatereport impacts adaptation amp vulnerability will be streamed live at am cet monday feb follow via ipcc youtube channel right_arrow right_arrow media alert authors of the next ipcc climatereport on impacts vulnerability amp adaptation to will be available for interviews on feb register interview requests here right_arrow before pm cet feb details right_arrow media alert todays ipcc media advisory carries key dates times amp more for the coverage of our next climatereport – the working group ii contribution to the sixth assessment report impacts adaptation amp vulnerability right_arrow know humans have caused but how do we know heres one of ipcc scientists explaining this in the second episode of our series explained climatereport right_arrow findings on the current state of the climate from the latest ipcc climatereport show humaninduced is already affecting many weather and climate extremes in every region across the globe read more right_arrow,3,0,Positive,IPCC_CH
27,27,191889667,snow in nkayi this morning as seen in mbuma mission hospital and in mthoniselwa village is real,3,0,Positive,Nkanyyso
28,28,1172400231100506112,can you suggest how to overcome this issue or how can we contribute for climate action through simple steps lettheearthbreathe action mission is on it’s an honor being invited as speaker for a session on worldforestday organized by nss mit campus anna university chennai really amazed on holding a speech on threats to forest and need for early climate action to participate as a judge and guest speaker for jeevasparsam presentation contest for ncc students organized by dgvaishnavcollege glad enough to have inspired the young minds on youthempowerment amp happy to be with the future pillars of the nation doesnt decide who is right it only decides who is left wake up people we have better things to fight for worldwar stopwar ukraine russia,3,2,Positive,Tamizhachi_Offl
29,29,714996735,answered queries last year in senate fast-forward_button inarguably more was achieved in the first years for focused domain in Pakistan under our pti govt than got done in the earlier years combined by others n امپورٹڈحکومتنامنظور senate briefing last year i already put the record straight about pti govts multiple initiatives one cannot blame ppp for ignorance as under ppp govts nothing got delivered on cc but criminal indifference امپورٹڈحکومتنامنظور,3,2,Positive,zartajgulwazir
30,30,890897569387347969,i’m pleased to see growing focus on education around for young people let’s continue to look for ways to speed and scale up the national greentransition by making this kind of information accessible for individuals and communities,3,0,Positive,LBGAmbNorth
31,31,816592081200279552,animation showing the strong correlation between recent increases in carbon dioxide and changes in global mean temperature as well as projected future changes globalwarming,3,0,Positive,RARohde
32,32,23638544,evergreen_tree the world’s forests absorb billion tonnes of carbon dioxide a year meaning reversing the effects of deforestation is essential in the fight against help us prepare for cope with and bounce back from the impacts of learn more about one of our most valuable ecosystems are earth’s most threatened ecosystem with of the world’s wetlands lost since protecting them can help with global challenges such as biodiversity loss and food and water security already have a powerful and cost effective way to combat naturebasedsolutions can provide over a third of the climate solution naturenow help us prepare for cope with and bounce back from the impacts of learn more about one of our most valuable ecosystems are earth’s most threatened ecosystem with of the world’s wetlands lost since protecting them can help with global challenges such as biodiversity loss and food and water security are a type of wetlands which are among the most valuable ecosystems on earth but when damaged are a major source of greenhouse gas emissions restoring them can help combat learn more about the importance of peatlands,3,0,Positive,IUCN
33,33,301326338,“if one tells me that he believes in climate change then proceeds to drive off in an suv or purchase a home on the ocean or fly in a private plane then i don’t believe that he believes in ” volunteers recently analysed thousands of old handwritten records about the climate embarrassingly for the met office they have had to admit that our weather was just as wild and extreme in those distant years as it is now oops,3,2,Positive,KathyConWom
34,34,1371881558278172674,prabhas participated in the greenindiachallenge they r going thank him by presenting the vanamali badge of honour for his contribution towards a greener tomorrow harahaitohbharahai nature environment globalwarming prabhas𓃵 darling,3,0,Neutral,sujithreddy05
35,35,74720323,trolleybus as the euclimatebank we invest in the transition towards lowcarbon mobility in we have invested over €bn in mitigation in transport film_projector watch the new episode of our development series right_arrow imfmeetings wbmeetings,3,0,Positive,EIB
36,36,4719757718,yeehaw cowboy_hat_face ox biden today launched a b civil nuclear credit program to save us nuclear power plants at risk of closing citing nuclear as carbonfree energy that helps to combat sun_with_face atom_symbol certificationbidding process now open door uranium United_States collision tells his million followers that europe should restart its shuttered nuclear reactors high_voltage amp increase capacity of others building_construction to achieve netzero to fight sun_with_face atom_symbol amp to get past irrational radiation fears face_screaming_in_fear i rest my case man_judge cowboy_hat_face ox uranium ridethewave man_surfing its now official scroll westvirginia governor jim justice has signed the bill that ends a decadeslong ban on building nuclear power plants in the state sun_with_face building_construction atom_symbol environmentalists say they can be used to help combat uranium man_surfing,3,0,Negative,quakes99
37,37,1534211360,visualizing the accumulation of humanmade mass on earth building_construction wood wrench wastebasket oil_drum infographic science datavisualization steel concrete plastic earth anthropogenicclimatechange biomass data metal climatecrisis,0,0,Positive,markabelan
38,38,15088481,the countries at the top want you to think the countries at the bottom are to blame for canada’s historic emissions per person are almost times those of india time for climatejustice actonclimate climateemergency climateaction climate cdnpoli a million species of plants and animals face extinction because of human activity protect people and the planet actonclimate climateemergency climate energy greennewdeal buildbackbetter biodiversity is planting giant corridors of trees to cool down the city and fight we have solutions to the climatecrisis time to ditch fossil fuels and implement them actonclimate climateemergency climateaction renewables solar wind greennewdeal nature humanity threatens our existence if we dont act soon therell be catastrophic biodiversity loss amp untold amounts of human misery times running out yours concerned scientists make the year we actonclimate climatecrisis held a funeral to mourn its first glacier lost to the impacts of the climatecrisis are being felt all over the world there is no time to waste is no planet b actonclimate climateemergency climate energy greennewdeal buildbackbetter urban forests can help rewild urban settings and help fight the brainchild of the japanese botanist miyawaki is taking his idea global we have so many solutions lets stop the delays and implement them actonclimate climate forests nature humanity threatens our existence if we dont act soon therell be catastrophic biodiversity loss amp untold amounts of human misery times running out yours concerned scientists act before action is no longer possible actonclimate climate kenya is planting trees with seed balls covered in charcoal dust to keep animals from eating them and to fight and combat deforestation we have the solutions lets get busy and actonclimate climateaction climate energy greennewdeal buildbackbetter humanity threatens our existence if we dont act soon therell be catastrophic biodiversity loss amp untold amounts of human misery times running out yours concerned scientists act before action is no longer possible actonclimate climate is using bamboo to fight and restore forests we have the solutions lets speed up and implement them climatecrisis climateaction nature environment buildbackbetter all farms are small and cozy this is the true scale of how farm animals are raised in parts of the united states let’s restore our respect for all living beings actonclimate climateemergency nature buildbackbetter a million species of plants and animals face extinction because of human activity we need to do better there is no planet b we have the solutions implement them actonclimate climate energy biodiversity nature cdnpoli buildbackbetter held a funeral to mourn its first glacier lost to the impacts of the climatecrisis are being felt all over the world there is no time to waste is no planet b actonclimate climate energy greennewdeal buildbackbetter is a second video summary of climate change since notice a pattern time to treat like the climateemergency it is actonclimate climate energy gore greennewdeal a million species of plants and animals face extinction because of human activity there is no planet b we must actonclimate climateemergency climate energy nature greennewdeal buildbackbetter humanity threatens our existence if we dont act soon therell be catastrophic biodiversity loss amp untold amounts of human misery times running out yours concerned scientists act before action is no longer possible climatecrisis have a short window to act on the climatecrisis amp avoid the widespread economic environmental and human damage would bring theres no time to wait theres no planet b the world wants action on the climateemergency time to deliver actonclimate climate held a funeral to mourn its first glacier lost to the impacts of the climatecrisis are being felt all over the world there is no time to waste is no planet b actonclimate climateemergency climate energy greennewdeal buildbackbetter cop urban forests can help rewild urban settings and help fight the brainchild of the japanese botanist miyawaki is taking his idea global we have so many solutions lets stop the delays and implement them actonclimate climate forests nature humanity threatens our existence if we dont act soon therell be catastrophic biodiversity loss amp untold amounts of human misery times running out yours concerned scientists act before action is no longer possible actonclimate climate january the arctic was °c warmer than the average january of were in a climateemergency we must actonclimate climatecrisis climate energy greennewdeal data source copernicus climate change service climate highest glacier on mount everest is melting at a rapid pace due to ice that took years to form has melted in years were in a climateemergency we must actonclimate climatecrisis climate energy greennewdeal is the first map of the worlds fungi network the wood wide web it could be an integral tool in the fight against nature protects us we must return the favour actonclimate climatecrisis climateaction climate nature greennewdeal pollution is now more deadly than war smoking and tb it kills million people every year we have solutions to keep our communities safe and deal with the climatecrisis lets implement them actonclimate airpollution climate energy buildbackbetter kenya is planting trees with seed balls covered in charcoal dust to keep animals from eating them and to fight and combat deforestation we have the solutions lets get busy and actonclimate climateaction climate energy greennewdeal buildbackbetter is planting giant corridors of trees to cool down the city and fight we have solutions to the climatecrisis time to ditch fossil fuels and implement them actonclimate climateemergency climateaction renewables solar greennewdeal buildbackbetter is building the worlds largest singlesite solar farm it could power up to million homes we have solutions to the climate crisis lets implement them actonclimate greennewdeal gore exhausted polar bear was found km from home in russian village scavenging for food experts said is driving polar bears further and further to survive there is no planet b actonclimate climate energy nature rewilding greennewdeal humanity threatens our existence if we dont act soon therell be catastrophic biodiversity loss amp untold amounts of human misery times running out yours concerned scientists lets act before action is no longer possible actonclimate climate is using bamboo to fight and restore forests we have the solutions lets speed up and implement them actonclimate climatecrisis climateaction nature rewilding environment all farms are small and cozy this is the true scale of how farm animals are raised in parts of the united states let’s restore our respect for all living beings actonclimate climateemergency buildbackbetter countries at the top want you to think the countries at the bottom are to blame for canada’s historic emissions per person are almost times those of india cop time for climatejustice actonclimate climateemergency climateaction climate energy a million species of plants and animals face extinction because of human activity new un report there is no planet b time to actonclimate climateemergency climate energy greennewdeal buildbackbetter biodiversity is planting giant corridors of trees to cool down the city and fight we have solutions to the climatecrisis time to ditch fossil fuels and implement them actonclimate climateemergency climateaction renewables solar wind greennewdeal nature,3,0,Positive,MikeHudema
39,39,27045167,exxonmobil the world’s largest and most powerful oil company knew everything there was to know about by the mid s however they spent the next few decades systematically funding climatedenial and lying about the facts behind the science climatecrisis an exxon scientific study concluded that burning fossilfuels “will cause dramatic environmental effects the potential problem is great and urgent” oil and gas companies have understood the science of and the dangers posed by fossil fuels for decades the russian federation iucn red list status criticallyendangered hunted for their horns and meat scientists have also concluded that the bacterium pasteurella multocida not normally harmful to them may have mutated due to and culled their numbers decreases livable habitats and food sources for giraffes and their population has declined due to disease and illegal poaching by in the last years human activity is destroying acacia trees the giraffes main food source deforestation is an abuse of animalrights it produces substantial greenhouse gas emissions of our total emissions of methane ch emissions which has more than times the global warming potential of co these emissions are intensifying agriculture contributes to transforming production systems and consumption habits are solutions to this hsi is advising the united nations that we must switch from animal agriculture and transition towards more plantcentric food systemsclimatecrisis must conserve and protect algae as its critical for balancing marine ecosystems and plays a major role in preventing by afforesting per cent of the ocean with seaweed billion tons of carbon dioxide annually can be erasedclimatecrisis algae,3,0,Positive,KaraJarina
40,40,49312457,remains oblivious to political circumstances in pakistan any reversalslowdown in our globally acknowledged response measures such as billiontreetsunami will have not only ecological but social and economic consequences,3,2,Positive,aminattock
41,41,958192618940252160,for years obama said was gonna kill us it didn’t then trump said “this is all a lie” and stopped the climate agenda and we didn’t die again biden is back with more climate lies difference is the people now know the truth just like they do with masksfirst question in when you first ran for senate you cited as a key concern what has changed measurably demonstrably indisputably in these past years while we’ve failed to tackle the issue please show your work be specific right needs to forget that ketanjibrownjackson was lenient towards a man who raped a baby she is good on so the new scotus has a soft spot for pedos amp child abusers that’s nothing compared to systemicracism and equity am i doing this right spent million to tear down and build a new oceanfront palace because is an existential threat remember he wants you to be vegan the whole climate movement is an enormous lie don’t fall for it carbonfootprint noplanetb think high gas prices are a problem wait till you see food prices when americans can’t afford to feed their families you can thank the eco left and hysteria and and their war on american energy and all themremember the eco left is funded by russia china for the sole purpose of weakening american energy using hysteria and children like greta they fund politicians like bernie and aoc who are too clueless to see the year strategy working energyindependencebiden’s sotu tonight will be one gigantic lie lie about inflation lie about crimewave lie about bordercrisis lie about ukraine lie about lie about energyindependence lie about covid he knows the media will carry his waterelection day is in weeks any candidate who does not pledge commitment to american energyindependence for our economic and national security survival is unworthy of office and dangerous any candidate running on is a putin agent these are now the rulesremember anyone who says we must punish american fossil fuels because of is an agent of russiaas rockets rain on kiev the people of ukraine must remember that is the number one national security threat we’re running out of time to solve it so don’t get distracted politician who told us was the number one security threat should resign every politician who supported shutting down american fossil fuel production is unequivocally a traitor you made putin rich and powerfulany elected official who said was our biggest national security threat would resign if he had even a drop of dignity they should all be voted out the childish fears of climate catastrophe nurtured by opportunistic politicians nauseating criminal is years of russian and chinese disinformation meant to weaken the west it worked and useful idiots like and and played along got rich in the process and put our national security and prosperity at risk criminalwill any reporter today ask if still believes is still the most urgent national security crisisremember kids the covid science has changed but the science is settled and there is no debate you denier we are all going to die in years unless we buy chinese solar panels made by uighur slaves see how it works now put on your mask and shut up amp covid amp have a key commonality they are ideal enemies for leftists to push a much larger antifreedom agenda the left loves fear mongering ideas and will tell you only trillions in spending and unprecedented power grabs can protect you,3,2,Positive,DanielTurnerPTF
42,42,8687332,giveaway police_car_light alert like rt or follow for chance to win of signed hardcovers bookmarks global climate adventurenonfiction backmatterprinted w soy inks on recycling_symbol paper the globe_showing_Americas day graphic novel winners announced ten_o’clock est United_States only four_leaf_clover giveaway earthday the extincts quest for the unicorn horn graphicnovel comes to life amp i’m giving away free signed arcs like rt ampor follow for chance to win winners announced ten_o’clock pm est United_States onlythanks amp shamrock goextincts kidlit giveaway toy not incl,3,2,Positive,smagoon
43,43,122706519,timetoact is now to highlight the urgency of climateaction our team of young cyclists wl collect a block of ice from khardungla glacier amp then use public transport n evs to deliver it to hh the on earthday earthday climatecrisis neutral leh airport a step closer today hial team thanks airports authority of india for this joint video conference of all technical partners and thanks for carbonneutralladakh unep at home in mumbai a ladakhi shivering inside a restaurant in grandhyattmumbai while its a nice ° c outside days ago in mongolia i was sweatting ° c in the hotel while outside it was ° c why are we surprised about meltingglaciers spread the word about recognizing excellence in mitigation amp adaptation calling individuals communities urban bodies re enterprises amp organizations to submit entries apply at,3,0,Positive,Wangchuk66
44,44,794815,awesome art to remind us about globalwarming sustainability sdg power plant in chile with one cell for scale renewableenergy renewables cleanenergy solarenergy solarpower military spending accounts for half of the world annual spend imagine this money being put to solving global issues like poverty healthcare education etc,3,2,Positive,alvinfoo
